resid,lipid_type,mean_heads,mean_tails,std_heads,std_tails,ratio_heads_tails,ratio_std_heads_tails,corr_heads_tails,min_heads,max_heads,range_heads,min_tails,max_tails,range_tails,target
1,DPSM,1.734564612486824e-05,1.6483386046633196e-05,2.1531156682931384e-05,2.3772154438142964e-05,1.052310858691025,0.9057301364483882,0.9241479121056362,0.0,0.00016069970376723442,0.00016069970376723442,0.0,0.00018722166768475783,0.00018722166768475783,0
3,DPSM,1.728620085049234e-05,1.6322070618553926e-05,2.1437157398561698e-05,2.349769777438096e-05,1.0590691128883152,0.9123088399721514,0.9243084637748289,0.0,0.00015761681339930545,0.00015761681339930545,0.0,0.0001850007970929455,0.0001850007970929455,0
4,DPSM,1.7382469940492845e-05,1.643339720333845e-05,2.163176253997806e-05,2.3704401706543977e-05,1.0577526804355213,0.9125631099141501,0.9239450051739644,0.0,0.0001661505992870974,0.0001661505992870974,0.0,0.00018589452075039932,0.00018589452075039932,0
9,DPSM,1.7269553873343355e-05,1.634947085477821e-05,2.1408020916605605e-05,2.3550659205922643e-05,1.0562760120335177,0.9090200290963322,0.9230079915857208,0.0,0.0001620424800739549,0.0001620424800739549,0.0,0.0001866378374695022,0.0001866378374695022,0
10,DPSM,1.7235179353466276e-05,1.6275169118765896e-05,2.1363186308277052e-05,2.3489048750142007e-05,1.05898619103094,0.909495592415078,0.9231335445991526,0.0,0.00016069970376723442,0.00016069970376723442,0.0,0.00018797987595112496,0.00018797987595112496,0
11,DPSM,1.725370853337522e-05,1.639779656417212e-05,2.1414191456832185e-05,2.3679838052227107e-05,1.0521967671603636,0.9043217022684902,0.9240346894912167,0.0,0.0001552603642429276,0.0001552603642429276,0.0,0.00018529059335618613,0.00018529059335618613,0
12,DPSM,1.7247326795608098e-05,1.6439471590384124e-05,2.1395065806498157e-05,2.372525782591561e-05,1.049141190504962,0.9017843331138794,0.9237462075842905,0.0,0.00015929005724296043,0.00015929005724296043,0.0,0.00018568832069307264,0.00018568832069307264,0
13,DPSM,1.7231768535876247e-05,1.644031719357015e-05,2.1377123854170598e-05,2.3729595699763754e-05,1.0481408803119465,0.9008633827833579,0.9233567760963711,0.0,0.0001586907880504839,0.0001586907880504839,0.0,0.00018889373397396836,0.00018889373397396836,0
15,DPSM,1.7253372778149128e-05,1.6413519211034735e-05,2.1411139626858306e-05,2.3697005782527577e-05,1.0511684030899213,0.9035377643636859,0.9232612043489602,0.0,0.00016728088768854058,0.00016728088768854058,0.0,0.0001864757493356108,0.0001864757493356108,0
18,DPSM,1.7333129760815813e-05,1.6531488865402415e-05,2.1565616641595863e-05,2.385399306470342e-05,1.0484917542479246,0.9040673644491978,0.9244861150858328,0.0,0.00015942824554531952,0.00015942824554531952,0.0,0.00018270880289001555,0.00018270880289001555,0
19,DPSM,1.7240531567348228e-05,1.6339837459072925e-05,2.1372690164235483e-05,2.3523498194209128e-05,1.0551225867779475,0.9085676793384787,0.9236602347519034,0.0,0.00015656498778976138,0.00015656498778976138,0.0,0.0001817016185146953,0.0001817016185146953,0
20,DPSM,1.729342602334828e-05,1.640807465997162e-05,2.1431547965177873e-05,2.3648150061171254e-05,1.0539582724801053,0.9062674209077818,0.9234973286301111,0.0,0.00016722808075042973,0.00016722808075042973,0.0,0.00018317331679566814,0.00018317331679566814,0
21,DPSM,1.7252977517985217e-05,1.63824975237473e-05,2.1374300066043074e-05,2.3629452792420373e-05,1.0531347551236379,0.904561787943702,0.9230507358302248,0.0,0.000160951340586812,0.000160951340586812,0.0,0.00019415749248438946,0.00019415749248438946,0
23,DPSM,1.7280846370230368e-05,1.6313538843085424e-05,2.141958875742918e-05,2.354818102189122e-05,1.0592947696051211,0.9096069347146929,0.9221768914283777,0.0,0.00016158602238360573,0.00016158602238360573,0.0,0.00018470288920712755,0.00018470288920712755,0
25,DPSM,1.7293272482313865e-05,1.6338357600618986e-05,2.1467558552284556e-05,2.3539885164537377e-05,1.0584461979004978,0.9119653049380733,0.9240617566658688,0.0,0.00016479964852166557,0.00016479964852166557,0.0,0.00018310160404736822,0.00018310160404736822,0
26,DPSM,1.720349156792629e-05,1.624994934653858e-05,2.1299735381890603e-05,2.341687565455146e-05,1.0586797042287905,0.9095891226526902,0.9225337114779891,0.0,0.00015800477906723984,0.00015800477906723984,0.0,0.0001863016594897467,0.0001863016594897467,0
27,DPSM,1.725634702986439e-05,1.6377404639561772e-05,2.146060595441615e-05,2.3679311752004205e-05,1.053667990114833,0.906301930528016,0.9233726703893713,0.0,0.00015584314588461853,0.00015584314588461853,0.0,0.0001861483247905824,0.0001861483247905824,0
29,DPSM,1.7252241341309195e-05,1.6409343317966685e-05,2.13743913195565e-05,2.3651685650271874e-05,1.051366956435095,0.9037153476336179,0.9234236060898974,0.0,0.00015658131258915658,0.00015658131258915658,0.0,0.00018522831659557127,0.00018522831659557127,0
30,DPSM,1.7237681209989518e-05,1.6380758940088284e-05,2.1347874403668125e-05,2.3621266513066796e-05,1.0523127330690463,0.9037565530984091,0.9230093151824627,0.0,0.00015705580141518434,0.00015705580141518434,0.0,0.00018483312026592924,0.00018483312026592924,0
32,DPSM,1.7274344666152482e-05,1.6361208557439095e-05,2.1409973630178018e-05,2.363352509428166e-05,1.0558110426566383,0.9059153699994738,0.9226796871484005,0.0,0.00016013974365610545,0.00016013974365610545,0.0,0.00018657975210378293,0.00018657975210378293,0
33,DPSM,1.7340315903608323e-05,1.6450808051737007e-05,2.156080382503534e-05,2.3730507193763305e-05,1.0540707695982992,0.9085690267379455,0.923596654489423,0.0,0.0001620424800739549,0.0001620424800739549,0.0,0.00019029586334900773,0.00019029586334900773,0
34,DPSM,1.730166219080155e-05,1.6480429045644744e-05,2.1460179098762044e-05,2.3794384242331986e-05,1.0498308110111874,0.9019010065653551,0.9231648396562728,0.0,0.00016204248007395126,0.00016204248007395126,0.0,0.00018660832888808793,0.00018660832888808793,0
35,DPSM,1.7246571142751973e-05,1.632079461846539e-05,2.1396158666959745e-05,2.3536309387956128e-05,1.0567237408428114,0.9090702503217634,0.9226893890754442,0.0,0.00015839081855115801,0.00015839081855115801,0.0,0.0001837423914463266,0.0001837423914463266,0
